candidate_id,rank,score,reasoning
CAND_0081321,1,0.641,Good semantic match (46.5/100) with the job description.; Relevant professional experience.; Possesses several required skills.
CAND_0075491,76,0.561,Good semantic match (50.2/100) with the job description.; Relevant professional experience.; Strong recruiter engagement and profile quality.
CAND_0005514,77,0.561,Good semantic match (47.5/100) with the job description.; Relevant professional experience.; Possesses several required skills.
CAND_0072218,78,0.561,Good semantic match (45.6/100) with the job description.; Relevant professional experience.; Possesses several required skills.
CAND_0078785,79,0.56,Good semantic match (47.3/100) with the job description.; Relevant professional experience.; Possesses several required skills.
CAND_0077067,80,0.56,Good semantic match (46.0/100) with the job description.; Relevant professional experience.; Possesses several required skills.
CAND_0057463,81,0.56,Good semantic match (49.8/100) with the job description.; Relevant professional experience.; Strong recruiter engagement and profile quality.
CAND_0011432,82,0.559,Good semantic match (42.0/100) with the job description.; Relevant professional experience.; Possesses several required skills.
CAND_0027090,83,0.559,Good semantic match (42.4/100) with the job description.; Relevant professional experience.; Possesses several required skills.
CAND_0007046,84,0.558,Good semantic match (60.1/100) with the job description.; Relevant professional experience.; Possesses several required skills.
CAND_0001218,85,0.558,Relevant professional experience.; Possesses several required skills.; Strong recruiter engagement and profile quality.
CAND_0078579,86,0.558,Good semantic match (53.9/100) with the job description.; Relevant professional experience.; Possesses several required skills.
CAND_0098677,87,0.558,Good semantic match (46.3/100) with the job description.; Relevant professional experience.; Possesses several required skills.
CAND_0004555,88,0.557,Good semantic match (48.3/100) with the job description.; Relevant professional experience.; Possesses several required skills.
CAND_0024440,89,0.557,Good semantic match (44.5/100) with the job description.; Relevant professional experience.; Possesses several required skills.
CAND_0057529,90,0.557,Good semantic match (52.2/100) with the job description.; Relevant professional experience.; Possesses several required skills.
CAND_0032955,91,0.556,Good semantic match (43.4/100) with the job description.; Relevant professional experience.; Possesses several required skills.
CAND_0077296,92,0.556,Good semantic match (49.7/100) with the job description.; Relevant professional experience.; Strong recruiter engagement and profile quality.
CAND_0087357,93,0.556,Good semantic match (50.0/100) with the job description.; Relevant professional experience.; Possesses several required skills.
CAND_0070398,94,0.556,Relevant professional experience.; Possesses several required skills.; Strong recruiter engagement and profile quality.
CAND_0061175,95,0.556,Good semantic match (40.0/100) with the job description.; Relevant professional experience.; Possesses several required skills.
CAND_0043304,96,0.555,Good semantic match (51.3/100) with the job description.; Relevant professional experience.; Possesses several required skills.
CAND_0004133,97,0.555,Good semantic match (50.4/100) with the job description.; Relevant professional experience.; Possesses several required skills.
CAND_0093547,98,0.555,Relevant professional experience.; Possesses several required skills.; Strong recruiter engagement and profile quality.
CAND_0000422,99,0.555,Good semantic match (52.3/100) with the job description.; Relevant professional experience.; Possesses several required skills.
CAND_0013702,100,0.554,Good semantic match (65.1/100) with the job description.; Relevant professional experience.; Possesses several required skills.
